Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,0.0328,0.0338,0.0327,0.0335,0.0335,22948374
2020-01-02,0.0335,0.0335,0.0324,0.0328,0.0328,20843934
2020-01-03,0.0327,0.0344,0.0325,0.0342,0.0342,30162644
2020-01-04,0.0342,0.0347,0.0339,0.0346,0.0346,29535781
2020-01-05,0.0346,0.0354,0.0345,0.0347,0.0347,21479178
2020-01-06,0.0348,0.0373,0.0347,0.0373,0.0373,37988444
2020-01-07,0.0373,0.0378,0.0367,0.037,0.037,51562680
2020-01-08,0.0371,0.0386,0.036,0.0364,0.0364,49193345
2020-01-09,0.0364,0.0364,0.0357,0.0364,0.0364,26562776
2020-01-10,0.0363,0.037,0.0348,0.0369,0.0369,47483943
2020-01-11,0.0369,0.0376,0.0365,0.0368,0.0368,63485488
2020-01-12,0.0368,0.0377,0.0366,0.0377,0.0377,56546260
2020-01-13,0.0377,0.0379,0.0368,0.037,0.037,56296775
2020-01-14,0.037,0.0422,0.037,0.0417,0.0417,125280206
2020-01-15,0.0416,0.043,0.0404,0.0426,0.0426,111350540
2020-01-16,0.0426,0.0431,0.0402,0.0414,0.0414,76686221
2020-01-17,0.0414,0.0457,0.0411,0.045,0.045,106282894
2020-01-18,0.045,0.0455,0.0432,0.0449,0.0449,89192476
2020-01-19,0.0449,0.0458,0.0414,0.042,0.042,91187159
2020-01-20,0.0419,0.0443,0.0419,0.0439,0.0439,70100648
2020-01-21,0.0438,0.0465,0.0435,0.046,0.046,95915865
2020-01-22,0.0459,0.0463,0.0453,0.0457,0.0457,67145740
2020-01-23,0.0457,0.0458,0.0422,0.0433,0.0433,75034253
2020-01-24,0.0434,0.0452,0.0414,0.045,0.045,77503651
2020-01-25,0.045,0.0452,0.0431,0.0432,0.0432,57389976
2020-01-26,0.0432,0.0446,0.043,0.0446,0.0446,62759585
2020-01-27,0.0446,0.0488,0.0442,0.0479,0.0479,97006750
2020-01-28,0.0478,0.0543,0.0475,0.0529,0.0529,207996791
2020-01-29,0.0529,0.0573,0.0525,0.0535,0.0535,187136958
2020-01-30,0.0535,0.0569,0.0524,0.0561,0.0561,153009928
2020-01-31,0.056,0.0566,0.0523,0.0538,0.0538,130754832
2020-02-01,0.0538,0.0571,0.0533,0.0561,0.0561,110646744
2020-02-02,0.0561,0.0584,0.0549,0.0558,0.0558,161454527
2020-02-03,0.0557,0.0577,0.0554,0.057,0.057,106658349
2020-02-04,0.057,0.0577,0.0542,0.056,0.056,108933031
2020-02-05,0.056,0.0599,0.0557,0.0592,0.0592,138149931
2020-02-06,0.0592,0.0606,0.0583,0.0598,0.0598,136652023
2020-02-07,0.0598,0.0623,0.0596,0.0598,0.0598,132154530
2020-02-08,0.0598,0.0611,0.0576,0.0599,0.0599,135969080
2020-02-09,0.0599,0.0622,0.0599,0.0618,0.0618,137945919
2020-02-10,0.0618,0.0619,0.0585,0.0604,0.0604,137083309
2020-02-11,0.0603,0.0632,0.0589,0.0632,0.0632,203550299
2020-02-12,0.0632,0.0702,0.0632,0.0684,0.0684,220517194
2020-02-13,0.0683,0.0721,0.066,0.0686,0.0686,251519041
2020-02-14,0.0686,0.071,0.0675,0.0706,0.0706,183283803
2020-02-15,0.0706,0.0711,0.0628,0.0639,0.0639,190925361
2020-02-16,0.064,0.0669,0.0574,0.0627,0.0627,206918460
2020-02-17,0.0626,0.0626,0.056,0.06,0.06,198079706
2020-02-18,0.0601,0.063,0.0583,0.0626,0.0626,184674402
2020-02-19,0.0626,0.0629,0.0574,0.0576,0.0576,166141953
2020-02-20,0.0574,0.0587,0.0559,0.0583,0.0583,201763470
2020-02-21,0.0582,0.0599,0.0577,0.0586,0.0586,180464941
2020-02-22,0.0586,0.059,0.057,0.0583,0.0583,132866697
2020-02-23,0.0583,0.0617,0.0582,0.0615,0.0615,190486307
2020-02-24,0.0615,0.0617,0.0575,0.059,0.059,203582108
2020-02-25,0.059,0.059,0.0561,0.0564,0.0564,178219320
2020-02-26,0.0563,0.0565,0.0474,0.0495,0.0495,207080423
2020-02-27,0.0494,0.0519,0.0465,0.0497,0.0497,158104507
2020-02-28,0.0497,0.0512,0.0471,0.0486,0.0486,153965237
2020-02-29,0.0486,0.0499,0.0475,0.0475,0.0475,94074240
2020-03-01,0.0475,0.0482,0.0453,0.0459,0.0459,96716581
2020-03-02,0.0459,0.0496,0.0456,0.049,0.049,106582073
2020-03-03,0.0489,0.0494,0.0478,0.0488,0.0488,117373434
2020-03-04,0.0488,0.0503,0.0482,0.049,0.049,136505373
2020-03-05,0.049,0.0523,0.049,0.0511,0.0511,112291734
2020-03-06,0.051,0.0517,0.0503,0.0514,0.0514,100834829
2020-03-07,0.0515,0.0517,0.0486,0.0489,0.0489,90448414
2020-03-08,0.0489,0.0489,0.043,0.0433,0.0433,111437013
2020-03-09,0.0432,0.0439,0.0393,0.0415,0.0415,125578007
2020-03-10,0.0416,0.043,0.0408,0.0415,0.0415,103411534
2020-03-11,0.0415,0.0417,0.0377,0.0396,0.0396,103084587
2020-03-12,0.0396,0.0397,0.024,0.024,0.024,179944370
2020-03-13,0.024,0.0292,0.0191,0.0284,0.0284,202296978
2020-03-14,0.0285,0.029,0.0257,0.026,0.026,65051356
2020-03-15,0.026,0.0288,0.0258,0.0271,0.0271,67311254
2020-03-16,0.0271,0.0271,0.0222,0.0241,0.0241,94985577
2020-03-17,0.0241,0.0262,0.0241,0.0252,0.0252,75837864
2020-03-18,0.0252,0.026,0.0246,0.0253,0.0253,77546807
2020-03-19,0.0253,0.0317,0.0253,0.0305,0.0305,119348856
2020-03-20,0.0304,0.0337,0.0275,0.0294,0.0294,142131507
2020-03-21,0.0294,0.0303,0.0281,0.0294,0.0294,94598889
2020-03-22,0.0294,0.0303,0.027,0.0271,0.0271,78698656
2020-03-23,0.0271,0.0291,0.0268,0.0291,0.0291,92453324
