Bulan,Tahun ,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
Januari,2020,"12,250","13,150","11,850","11,700","12,500","11,900"
Februari,2020,"11,800","12,550","11,900","11,700","12,350","12,000"
Maret,2020,"11,800","12,650","11,900","11,700","12,400","11,950"
April,2020,"11,900","12,750","11,900","11,750","12,400","12,000"
Mei,2020,"12,050","12,800","11,950","11,850","12,500","12,000"
Juni,2020,"11,700","12,350","11,900","11,800","12,500","12,050"
Juli,2020,"11,750","12,400","11,900","11,750","12,500","12,000"
Agustus,2020,"11,650","12,300","11,900","11,650","12,500","12,050"
September,2020,"11,500","12,100","11,750","11,500","12,350","11,950"
Oktober,2020,"11,450","12,100","11,750","11,500","12,350","11,900"
November,2020,"11,450","12,100","11,800","11,450","12,400","11,850"
Desember,2020,"11,500","12,150","11,750","11,400","12,400","11,850"
Januari,2021,"11,450","12,050","11,700","11,400","12,400","12,000"
Februari,2021,"11,300","12,000","11,700","11,450","12,400","12,000"
Maret,2021,"11,300","11,250","11,700","11,550","12,500","12,050"
April,2021,"11,500","11,350","11,750","11,600","12,550","12,250"
Mei,2021,"11,500","11,400","11,800","11,600","12,550","12,200"
Juni,2021,"11,500","11,350","11,850","11,600","12,600","12,200"
Juli,2021,"11,500","11,400","11,800","11,600","12,550","12,200"
Agustus,2021,"11,500","11,400","11,750","11,550","12,550","12,200"
September,2021,"11,500","11,400","11,750","11,550","12,550","12,200"
Oktober,2021,"11,500","11,400","11,750","11,550","12,550","12,250"
November,2021,"11,450","11,350","11,750","11,550","12,550","12,250"
Desember,2021,"11,500","11,400","11,700","11,550","12,650","12,250"
Januari,2022,"11,550","11,400","11,800","11,700","12,600","12,250"
Februari,2022,"11,550","11,400","11,850","11,700","12,600","12,300"
Maret,2022,"11,550","11,400","11,800","11,700","12,650","12,350"
April,2022,"11,550","11,400","11,800","11,650","12,600","12,350"
Mei,2022,"11,550","11,400","11,800","11,650","12,550","12,250"
Juni,2022,"11,550","11,300","11,800","11,650","12,550","12,250"
Juli,2022,"11,550","11,250","11,800",11.65,"12,550","12,250"
Agustus,2022,"11,600","11,300","11,850","11,600","12,550","12,250"
September,2022,"11,600","11,500","11,900","11,750","12,550","12,300"
Oktober,2022,"11,750","11,550","12,000","11,850","12,650","12,350"
November,2022,"11,750","11,450","12,050","11,850","12,650","12,350"
Desember,2022,"11,850","11,600","12,100","11,950","12,750","12,450"
Januari,2023,"11,750","11,500","12,150","12,000","12,750","12,450"
Februari,2023,"11,950","11,750","12,250","12,150","12,850","12,500"
Maret,2023,"12,050","11,750","12,250","12,200","12,850","12,600"
April,2023,"12,050","11,750","12,300","12,250","12,900","12,650"
Mei,2023,"12,450","12,050","12,600","12,450","13,250","13,050"
Juni,2023,"12,500","12,100","12,900","12,750","13,550","13,350"
Juli,2023,"12,500","12,100","12,900","12,850","13,550","13,350"
Agustus,2023,"12,500","12,050","13,000","12,900","13,550","13,400"
September,2023,"12,400","11,950","13,000","12,950","13,800","13,450"
Oktober,2023,"12,550","12,350","13,250","13,300","13,900","13,650"
November,2023,"13,450","13,500","13,400","13,400","13,900","13,750"
Desember,2023,"13,300","13,200","13,350","13,450","13,900","13,750"
Januari,2024,"13,500","13,350","13,450","13,550","13,900","13,800"
Februari,2024,"13,600","13,450","13,550","13,650","14,200","13,850"
Maret,2024,"14,000","14,000","14,050","14,100","14,900","14,300"
April,2024,"14,150","14,000","14,200","14,250","14,850","14,600"
Mei,2024,"14,000","13,350","14,200","14,350","15,450","14,650"
Juni,2024,"13,950","13,650","14,100","14,100","15,400","14,600"
Juli,2024,"14,050","13,650","14,150","14,250","15,500","14,700"
Agustus,2024,"14,100","13,700","14,100","14,200","15,550","14,700"
