Date,Harga Beras
01/ 01/ 2020,"12,500"
02/ 01/ 2020,"12,500"
03/ 01/ 2020,"12,500"
06/ 01/ 2020,"12,500"
07/ 01/ 2020,"12,500"
08/ 01/ 2020,"12,350"
09/ 01/ 2020,"12,350"
10/ 01/ 2020,"12,350"
13/ 01/ 2020,"12,350"
14/ 01/ 2020,"12,400"
15/ 01/ 2020,"12,400"
16/ 01/ 2020,"12,400"
17/ 01/ 2020,"12,400"
20/ 01/ 2020,"12,400"
21/ 01/ 2020,"12,400"
22/ 01/ 2020,"12,350"
23/ 01/ 2020,"12,350"
24/ 01/ 2020,"12,350"
27/ 01/ 2020,"12,350"
28/ 01/ 2020,"12,350"
29/ 01/ 2020,"12,350"
30/ 01/ 2020,"12,350"
31/ 01/ 2020,"12,350"
03/ 02/ 2020,"12,350"
04/ 02/ 2020,"12,350"
05/ 02/ 2020,"12,350"
06/ 02/ 2020,"12,350"
07/ 02/ 2020,"12,350"
10/ 02/ 2020,"12,350"
11/ 02/ 2020,"12,350"
12/ 02/ 2020,"12,350"
13/ 02/ 2020,"12,350"
14/ 02/ 2020,"12,350"
17/ 02/ 2020,"12,350"
18/ 02/ 2020,"12,350"
19/ 02/ 2020,"12,400"
20/ 02/ 2020,"12,400"
21/ 02/ 2020,"12,400"
24/ 02/ 2020,"12,400"
25/ 02/ 2020,"12,400"
26/ 02/ 2020,"12,400"
27/ 02/ 2020,"12,400"
28/ 02/ 2020,"12,400"
02/ 03/ 2020,"12,400"
03/ 03/ 2020,"12,400"
04/ 03/ 2020,"12,400"
05/ 03/ 2020,"12,400"
06/ 03/ 2020,"12,400"
09/ 03/ 2020,"12,400"
10/ 03/ 2020,"12,400"
11/ 03/ 2020,"12,400"
12/ 03/ 2020,"12,400"
13/ 03/ 2020,"12,400"
16/ 03/ 2020,"12,400"
17/ 03/ 2020,"12,400"
18/ 03/ 2020,"12,450"
19/ 03/ 2020,"12,450"
20/ 03/ 2020,"12,450"
23/ 03/ 2020,"12,450"
24/ 03/ 2020,"12,450"
25/ 03/ 2020,"12,400"
26/ 03/ 2020,"12,400"
27/ 03/ 2020,"12,400"
30/ 03/ 2020,"12,400"
31/ 03/ 2020,"12,400"
01/ 04/ 2020,"12,400"
02/ 04/ 2020,"12,400"
03/ 04/ 2020,"12,400"
06/ 04/ 2020,"12,400"
07/ 04/ 2020,"12,400"
08/ 04/ 2020,"12,400"
09/ 04/ 2020,"12,400"
10/ 04/ 2020,"12,400"
13/ 04/ 2020,"12,400"
14/ 04/ 2020,"12,400"
15/ 04/ 2020,"12,450"
16/ 04/ 2020,"12,450"
17/ 04/ 2020,"12,450"
20/ 04/ 2020,"12,450"
21/ 04/ 2020,"12,450"
22/ 04/ 2020,"12,500"
23/ 04/ 2020,"12,500"
24/ 04/ 2020,"12,500"
27/ 04/ 2020,"12,500"
28/ 04/ 2020,"12,500"
29/ 04/ 2020,"12,500"
30/ 04/ 2020,"12,500"
01/ 05/ 2020,"12,500"
04/ 05/ 2020,"12,500"
05/ 05/ 2020,"12,500"
06/ 05/ 2020,"12,500"
07/ 05/ 2020,"12,500"
08/ 05/ 2020,"12,500"
11/ 05/ 2020,"12,500"
12/ 05/ 2020,"12,500"
13/ 05/ 2020,"12,500"
14/ 05/ 2020,"12,500"
15/ 05/ 2020,"12,500"
18/ 05/ 2020,"12,500"
19/ 05/ 2020,"12,500"
20/ 05/ 2020,"12,400"
21/ 05/ 2020,"12,400"
22/ 05/ 2020,"12,400"
25/ 05/ 2020,"12,400"
26/ 05/ 2020,"12,400"
27/ 05/ 2020,"12,500"
28/ 05/ 2020,"12,500"
29/ 05/ 2020,"12,500"
01/ 06/ 2020,"12,500"
02/ 06/ 2020,"12,500"
03/ 06/ 2020,"12,500"
04/ 06/ 2020,"12,500"
05/ 06/ 2020,"12,500"
08/ 06/ 2020,"12,500"
09/ 06/ 2020,"12,500"
10/ 06/ 2020,"12,500"
11/ 06/ 2020,"12,500"
12/ 06/ 2020,"12,500"
15/ 06/ 2020,"12,500"
16/ 06/ 2020,"12,500"
17/ 06/ 2020,"12,500"
18/ 06/ 2020,"12,500"
19/ 06/ 2020,"12,500"
22/ 06/ 2020,"12,500"
23/ 06/ 2020,"12,500"
24/ 06/ 2020,"12,500"
25/ 06/ 2020,"12,500"
26/ 06/ 2020,"12,500"
29/ 06/ 2020,"12,500"
30/ 06/ 2020,"12,500"
01/ 07/ 2020,"12,500"
02/ 07/ 2020,"12,500"
03/ 07/ 2020,"12,500"
06/ 07/ 2020,"12,500"
07/ 07/ 2020,"12,500"
08/ 07/ 2020,"12,500"
09/ 07/ 2020,"12,500"
10/ 07/ 2020,"12,500"
13/ 07/ 2020,"12,500"
14/ 07/ 2020,"12,500"
15/ 07/ 2020,"12,500"
16/ 07/ 2020,"12,500"
17/ 07/ 2020,"12,500"
20/ 07/ 2020,"12,500"
21/ 07/ 2020,"12,500"
22/ 07/ 2020,"12,500"
23/ 07/ 2020,"12,500"
24/ 07/ 2020,"12,500"
27/ 07/ 2020,"12,500"
28/ 07/ 2020,"12,500"
29/ 07/ 2020,"12,500"
30/ 07/ 2020,"12,500"
31/ 07/ 2020,"12,500"
03/ 08/ 2020,"12,500"
04/ 08/ 2020,"12,500"
05/ 08/ 2020,"12,500"
06/ 08/ 2020,"12,500"
07/ 08/ 2020,"12,500"
10/ 08/ 2020,"12,500"
11/ 08/ 2020,"12,500"
12/ 08/ 2020,"12,450"
13/ 08/ 2020,"12,450"
14/ 08/ 2020,"12,450"
17/ 08/ 2020,"12,450"
18/ 08/ 2020,"12,450"
19/ 08/ 2020,"12,450"
20/ 08/ 2020,"12,450"
21/ 08/ 2020,"12,450"
24/ 08/ 2020,"12,450"
25/ 08/ 2020,"12,450"
26/ 08/ 2020,"12,400"
27/ 08/ 2020,"12,350"
28/ 08/ 2020,"12,350"
31/ 08/ 2020,"12,350"
01/ 09/ 2020,"12,350"
02/ 09/ 2020,"12,350"
03/ 09/ 2020,"12,350"
04/ 09/ 2020,"12,350"
07/ 09/ 2020,"12,350"
08/ 09/ 2020,"12,350"
09/ 09/ 2020,"12,350"
10/ 09/ 2020,"12,350"
11/ 09/ 2020,"12,350"
14/ 09/ 2020,"12,350"
15/ 09/ 2020,"12,350"
16/ 09/ 2020,"12,350"
17/ 09/ 2020,"12,350"
18/ 09/ 2020,"12,350"
21/ 09/ 2020,"12,350"
22/ 09/ 2020,"12,350"
23/ 09/ 2020,"12,350"
24/ 09/ 2020,"12,350"
25/ 09/ 2020,"12,350"
28/ 09/ 2020,"12,350"
29/ 09/ 2020,"12,350"
30/ 09/ 2020,"12,350"
01/ 10/ 2020,"12,350"
02/ 10/ 2020,"12,350"
05/ 10/ 2020,"12,350"
06/ 10/ 2020,"12,350"
07/ 10/ 2020,"12,350"
08/ 10/ 2020,"12,350"
09/ 10/ 2020,"12,350"
12/ 10/ 2020,"12,350"
13/ 10/ 2020,"12,350"
14/ 10/ 2020,"12,400"
15/ 10/ 2020,"12,400"
16/ 10/ 2020,"12,400"
19/ 10/ 2020,"12,400"
20/ 10/ 2020,"12,400"
21/ 10/ 2020,"12,400"
22/ 10/ 2020,"12,400"
23/ 10/ 2020,"12,400"
26/ 10/ 2020,"12,400"
27/ 10/ 2020,"12,400"
28/ 10/ 2020,"12,400"
29/ 10/ 2020,"12,400"
30/ 10/ 2020,"12,400"
02/ 11/ 2020,"12,400"
03/ 11/ 2020,"12,400"
04/ 11/ 2020,"12,450"
05/ 11/ 2020,"12,450"
06/ 11/ 2020,"12,450"
09/ 11/ 2020,"12,450"
10/ 11/ 2020,"12,450"
11/ 11/ 2020,"12,400"
12/ 11/ 2020,"12,400"
13/ 11/ 2020,"12,400"
16/ 11/ 2020,"12,400"
17/ 11/ 2020,"12,400"
