Date,Harga
01/ 01/ 2020,"16,100"
02/ 01/ 2020,"15,950"
03/ 01/ 2020,"16,100"
06/ 01/ 2020,"16,100"
07/ 01/ 2020,"16,100"
08/ 01/ 2020,"16,100"
09/ 01/ 2020,"16,100"
10/ 01/ 2020,"16,100"
13/ 01/ 2020,"16,100"
14/ 01/ 2020,"16,100"
15/ 01/ 2020,"16,100"
16/ 01/ 2020,"16,100"
17/ 01/ 2020,"16,100"
20/ 01/ 2020,"16,100"
21/ 01/ 2020,"16,100"
22/ 01/ 2020,"16,100"
23/ 01/ 2020,"16,100"
24/ 01/ 2020,"16,100"
27/ 01/ 2020,"16,100"
28/ 01/ 2020,"16,150"
29/ 01/ 2020,"16,150"
30/ 01/ 2020,"16,150"
31/ 01/ 2020,"16,150"
03/ 02/ 2020,"16,150"
04/ 02/ 2020,"16,150"
05/ 02/ 2020,"16,150"
06/ 02/ 2020,"16,150"
07/ 02/ 2020,"16,150"
10/ 02/ 2020,"16,150"
11/ 02/ 2020,"16,150"
12/ 02/ 2020,"15,950"
13/ 02/ 2020,"15,950"
14/ 02/ 2020,"15,950"
17/ 02/ 2020,"15,950"
18/ 02/ 2020,"15,950"
19/ 02/ 2020,"15,950"
20/ 02/ 2020,"15,950"
21/ 02/ 2020,"15,950"
24/ 02/ 2020,"15,950"
25/ 02/ 2020,"15,950"
26/ 02/ 2020,"15,950"
27/ 02/ 2020,"15,950"
28/ 02/ 2020,"15,950"
02/ 03/ 2020,"15,950"
03/ 03/ 2020,"16,150"
04/ 03/ 2020,"16,150"
05/ 03/ 2020,"16,150"
06/ 03/ 2020,"16,150"
09/ 03/ 2020,"16,150"
10/ 03/ 2020,"16,150"
11/ 03/ 2020,"15,950"
12/ 03/ 2020,"15,950"
13/ 03/ 2020,"15,950"
16/ 03/ 2020,"15,950"
17/ 03/ 2020,"15,950"
18/ 03/ 2020,"15,950"
19/ 03/ 2020,"15,950"
20/ 03/ 2020,"15,950"
23/ 03/ 2020,"15,950"
24/ 03/ 2020,"15,600"
25/ 03/ 2020,"15,600"
26/ 03/ 2020,"15,600"
27/ 03/ 2020,"15,600"
30/ 03/ 2020,"15,600"
31/ 03/ 2020,"15,600"
01/ 04/ 2020,"15,600"
02/ 04/ 2020,"15,600"
03/ 04/ 2020,"15,600"
06/ 04/ 2020,"15,600"
07/ 04/ 2020,"15,600"
08/ 04/ 2020,"15,600"
09/ 04/ 2020,"15,600"
10/ 04/ 2020,"15,600"
13/ 04/ 2020,"15,600"
14/ 04/ 2020,"15,600"
15/ 04/ 2020,"15,600"
16/ 04/ 2020,"15,600"
17/ 04/ 2020,"15,600"
20/ 04/ 2020,"15,600"
21/ 04/ 2020,"15,600"
22/ 04/ 2020,"15,600"
23/ 04/ 2020,"15,600"
24/ 04/ 2020,"15,600"
27/ 04/ 2020,"16,250"
28/ 04/ 2020,"16,250"
29/ 04/ 2020,"16,250"
30/ 04/ 2020,"16,250"
01/ 05/ 2020,"16,250"
04/ 05/ 2020,"16,250"
05/ 05/ 2020,"16,250"
06/ 05/ 2020,"16,250"
07/ 05/ 2020,"16,250"
08/ 05/ 2020,"16,250"
11/ 05/ 2020,"16,250"
12/ 05/ 2020,"16,250"
13/ 05/ 2020,"16,250"
14/ 05/ 2020,"16,250"
15/ 05/ 2020,"16,250"
18/ 05/ 2020,"16,250"
19/ 05/ 2020,"16,250"
20/ 05/ 2020,"16,250"
21/ 05/ 2020,"16,250"
22/ 05/ 2020,"16,250"
25/ 05/ 2020,"16,250"
26/ 05/ 2020,"16,250"
27/ 05/ 2020,"16,250"
28/ 05/ 2020,"16,250"
29/ 05/ 2020,"16,250"
01/ 06/ 2020,"16,100"
02/ 06/ 2020,"16,100"
03/ 06/ 2020,"16,100"
04/ 06/ 2020,"16,100"
05/ 06/ 2020,"16,100"
08/ 06/ 2020,"16,100"
09/ 06/ 2020,"16,100"
10/ 06/ 2020,"16,100"
11/ 06/ 2020,"16,100"
12/ 06/ 2020,"16,100"
15/ 06/ 2020,"16,100"
16/ 06/ 2020,"16,100"
17/ 06/ 2020,"16,100"
18/ 06/ 2020,"16,100"
19/ 06/ 2020,"16,100"
22/ 06/ 2020,"16,100"
23/ 06/ 2020,"16,100"
24/ 06/ 2020,"16,100"
25/ 06/ 2020,"16,100"
26/ 06/ 2020,"16,100"
29/ 06/ 2020,"16,100"
30/ 06/ 2020,"16,300"
