Bulan,Harga
2019-01-01,"12,950"
2019-02-01,"12,750"
2019-03-01,"12,700"
2019-04-01,"12,700"
2019-05-01,"12,650"
2019-06-01,"12,650"
2019-07-01,"12,650"
2019-08-01,"12,650"
2019-09-01,"12,650"
2019-10-01,"12,600"
2019-11-01,"12,550"
2019-12-01,"12,600"
2020-01-01,"12,500"
2020-02-01,"12,350"
2020-03-01,"12,400"
2020-04-01,"12,400"
2020-05-01,"12,500"
2020-06-01,"12,500"
2020-07-01,"12,500"
2020-08-01,"12,500"
2020-09-01,"12,350"
2020-10-01,"12,350"
2020-11-01,"12,400"
2020-12-01,"12,400"
2021-01-01,"12,400"
2021-02-01,"12,400"
2021-03-01,"12,500"
2021-04-01,"12,550"
2021-05-01,"12,550"
2021-06-01,"12,600"
2021-07-01,"12,550"
2021-08-01,"12,550"
2021-09-01,"12,550"
2021-10-01,"12,550"
2021-11-01,"12,550"
2021-12-01,"12,650"
2022-01-01,"12,600"
2022-02-01,"12,600"
2022-03-01,"12,650"
2022-04-01,"12,600"
2022-05-01,"12,550"
2022-06-01,"12,550"
2022-07-01,"12,550"
2022-08-01,"12,550"
2022-09-01,"12,550"
2022-10-01,"12,650"
2022-11-01,"12,650"
2022-12-01,"12,750"
2023-01-01,"12,750"
2023-02-01,"12,850"
2023-03-01,"12,850"
2023-04-01,"12,900"
2023-05-01,"13,250"
2023-06-01,"13,550"
2023-07-01,"13,550"
2023-08-01,"13,550"
2023-09-01,"13,800"
2023-10-01,"13,900"
2023-11-01,"13,900"
2023-12-01,"13,900"
2024-01-01,"13,900"
2024-02-01,"14,200"
2024-03-01,"14,900"
2024-04-01,"14,850"
2024-05-01,"15,450"
2024-06-01,"15,400"
2024-07-01,"15,500"
2024-08-01,"15,550"
