Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,0.002,0.0021,0.002,0.002,0.002,51180941
2020-01-02,0.002,0.0021,0.002,0.002,0.002,65071106
2020-01-03,0.002,0.0022,0.002,0.0021,0.0021,62619988
2020-01-04,0.0021,0.0025,0.0021,0.0022,0.0022,94227582
2020-01-05,0.0022,0.0025,0.0021,0.0024,0.0024,52631740
2020-01-06,0.0024,0.0026,0.0024,0.0025,0.0025,54562409
2020-01-07,0.0025,0.0025,0.0024,0.0024,0.0024,52767343
2020-01-08,0.0024,0.0025,0.0023,0.0023,0.0023,77251526
2020-01-09,0.0023,0.0023,0.0021,0.0023,0.0023,70690571
2020-01-10,0.0023,0.0024,0.0022,0.0024,0.0024,87683356
2020-01-11,0.0024,0.0024,0.0023,0.0023,0.0023,94203409
2020-01-12,0.0023,0.0024,0.0023,0.0024,0.0024,79426215
2020-01-13,0.0024,0.0024,0.0023,0.0024,0.0024,83849846
2020-01-14,0.0024,0.0025,0.0023,0.0025,0.0025,128635383
2020-01-15,0.0025,0.0025,0.0024,0.0024,0.0024,128940321
2020-01-16,0.0024,0.0024,0.0023,0.0023,0.0023,98124199
2020-01-17,0.0023,0.0025,0.0023,0.0025,0.0025,117752841
2020-01-18,0.0025,0.0025,0.0025,0.0025,0.0025,108133943
2020-01-19,0.0025,0.0026,0.0024,0.0024,0.0024,108085147
2020-01-20,0.0024,0.0024,0.0024,0.0024,0.0024,92022277
2020-01-21,0.0024,0.0024,0.0023,0.0024,0.0024,84321565
2020-01-22,0.0024,0.0024,0.0023,0.0023,0.0023,82852580
2020-01-23,0.0023,0.0024,0.0022,0.0023,0.0023,91866620
2020-01-24,0.0023,0.0023,0.0022,0.0023,0.0023,86865882
2020-01-25,0.0023,0.0023,0.0022,0.0023,0.0023,82421399
2020-01-26,0.0023,0.0023,0.0022,0.0023,0.0023,73458474
2020-01-27,0.0023,0.0024,0.0023,0.0024,0.0024,89023414
2020-01-28,0.0024,0.0025,0.0024,0.0025,0.0025,91528771
2020-01-29,0.0025,0.0025,0.0024,0.0024,0.0024,80676219
2020-01-30,0.0024,0.0024,0.0024,0.0024,0.0024,83967914
2020-01-31,0.0024,0.0025,0.0024,0.0024,0.0024,76519295
2020-02-01,0.0024,0.0024,0.0024,0.0024,0.0024,78730830
2020-02-02,0.0024,0.0025,0.0024,0.0025,0.0025,91552515
2020-02-03,0.0025,0.0025,0.0024,0.0024,0.0024,78856631
2020-02-04,0.0024,0.0025,0.0024,0.0025,0.0025,89790002
2020-02-05,0.0025,0.0026,0.0025,0.0026,0.0026,105741619
2020-02-06,0.0026,0.0027,0.0026,0.0027,0.0027,108711614
2020-02-07,0.0027,0.0028,0.0026,0.0028,0.0028,130273878
2020-02-08,0.0028,0.0032,0.0027,0.0032,0.0032,203803814
2020-02-09,0.0032,0.0035,0.0032,0.0032,0.0032,218861527
2020-02-10,0.0032,0.0033,0.0029,0.003,0.003,195582003
2020-02-11,0.003,0.0031,0.0029,0.003,0.003,169747135
2020-02-12,0.003,0.0032,0.003,0.0031,0.0031,181406960
2020-02-13,0.0031,0.0032,0.003,0.003,0.003,168543942
2020-02-14,0.003,0.0031,0.003,0.0031,0.0031,140849233
2020-02-15,0.0031,0.0032,0.0028,0.0029,0.0029,144726029
2020-02-16,0.0029,0.003,0.0026,0.0028,0.0028,149831933
2020-02-17,0.0027,0.0028,0.0025,0.0027,0.0027,149622002
2020-02-18,0.0027,0.0028,0.0027,0.0028,0.0028,144188844
2020-02-19,0.0028,0.0029,0.0026,0.0026,0.0026,136889052
2020-02-20,0.0026,0.0027,0.0026,0.0027,0.0027,187866681
2020-02-21,0.0027,0.0027,0.0026,0.0026,0.0026,157652567
2020-02-22,0.0026,0.0027,0.0026,0.0026,0.0026,156145895
2020-02-23,0.0026,0.0027,0.0026,0.0027,0.0027,180747902
2020-02-24,0.0027,0.0027,0.0026,0.0026,0.0026,159143744
2020-02-25,0.0026,0.0026,0.0024,0.0025,0.0025,178541404
2020-02-26,0.0025,0.0025,0.0022,0.0023,0.0023,201370789
2020-02-27,0.0023,0.0024,0.0023,0.0023,0.0023,162813946
2020-02-28,0.0023,0.0024,0.0022,0.0023,0.0023,153544453
2020-02-29,0.0023,0.0023,0.0022,0.0022,0.0022,146635830
2020-03-01,0.0022,0.0023,0.0022,0.0023,0.0023,162437207
2020-03-02,0.0023,0.0024,0.0023,0.0023,0.0023,165788612
2020-03-03,0.0023,0.0025,0.0023,0.0025,0.0025,174988479
2020-03-04,0.0025,0.0025,0.0024,0.0024,0.0024,144601436
2020-03-05,0.0024,0.0025,0.0024,0.0025,0.0025,104912777
2020-03-06,0.0025,0.0025,0.0024,0.0025,0.0025,100268192
2020-03-07,0.0025,0.0025,0.0024,0.0024,0.0024,88138038
2020-03-08,0.0024,0.0024,0.0022,0.0022,0.0022,101738284
2020-03-09,0.0022,0.0022,0.0021,0.0022,0.0022,137033008
2020-03-10,0.0022,0.0023,0.0022,0.0022,0.0022,115431584
2020-03-11,0.0022,0.0022,0.0021,0.0022,0.0022,107425626
2020-03-12,0.0022,0.0022,0.0015,0.0015,0.0015,167892774
2020-03-13,0.0015,0.0018,0.0012,0.0017,0.0017,218676976
2020-03-14,0.0017,0.0018,0.0016,0.0017,0.0017,113389101
2020-03-15,0.0017,0.0018,0.0017,0.0017,0.0017,119811060
2020-03-16,0.0017,0.0017,0.0015,0.0016,0.0016,134329668
2020-03-17,0.0016,0.0017,0.0016,0.0016,0.0016,102697604
2020-03-18,0.0016,0.0016,0.0016,0.0016,0.0016,102196814
2020-03-19,0.0016,0.0018,0.0016,0.0018,0.0018,251888350
2020-03-20,0.0018,0.0019,0.0017,0.0018,0.0018,188170528
2020-03-21,0.0018,0.0019,0.0017,0.0018,0.0018,166141811
2020-03-22,0.0018,0.0019,0.0017,0.0017,0.0017,161287088
2020-03-23,0.0017,0.0018,0.0017,0.0018,0.0018,166551897
2020-03-24,0.0018,0.0019,0.0018,0.0019,0.0019,177134005
2020-03-25,0.0019,0.0019,0.0018,0.0018,0.0018,163367839
2020-03-26,0.0018,0.0019,0.0018,0.0018,0.0018,162455890
2020-03-27,0.0018,0.0019,0.0018,0.0018,0.0018,166326062
2020-03-28,0.0018,0.0018,0.0017,0.0018,0.0018,169979142
2020-03-29,0.0018,0.0018,0.0017,0.0017,0.0017,156619235
2020-03-30,0.0017,0.0019,0.0017,0.0018,0.0018,163244392
2020-03-31,0.0019,0.0019,0.0018,0.0018,0.0018,156195510
2020-04-01,0.0018,0.0019,0.0018,0.0019,0.0019,163418627
2020-04-02,0.0019,0.0019,0.0019,0.0019,0.0019,165879605
2020-04-03,0.0019,0.0019,0.0018,0.0019,0.0019,161121845
2020-04-04,0.0019,0.0019,0.0018,0.0019,0.0019,160849686
2020-04-05,0.0019,0.0019,0.0018,0.0019,0.0019,152557918
2020-04-06,0.0019,0.002,0.0019,0.002,0.002,173173223
2020-04-07,0.002,0.002,0.0019,0.002,0.002,129399793
2020-04-08,0.002,0.002,0.002,0.002,0.002,116283369
2020-04-09,0.002,0.002,0.002,0.002,0.002,109954538
2020-04-10,0.002,0.002,0.0019,0.002,0.002,122108790
2020-04-11,0.002,0.002,0.0019,0.002,0.002,161367396
