Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,129.6,132.8,129.2,130.8,130.8,7935230330
2020-01-02,130.8,130.8,127.0,127.4,127.4,8032709256
2020-01-03,127.4,134.6,126.5,134.2,134.2,10476845358
2020-01-04,134.2,136.1,133.0,135.1,135.1,7430904515
2020-01-05,135.1,139.4,135.0,136.3,136.3,7526675353
2020-01-06,136.3,144.3,136.1,144.3,144.3,9093747121
2020-01-07,144.3,145.0,140.5,143.5,143.5,9257954672
2020-01-08,143.5,146.8,138.3,141.3,141.3,9387194957
2020-01-09,141.2,141.4,136.2,139.0,139.0,7697325348
2020-01-10,139.0,144.2,135.5,144.0,144.0,9084816203
2020-01-11,143.4,146.5,142.2,142.9,142.9,9332208590
2020-01-12,143.0,146.1,142.7,145.9,145.9,8528167453
2020-01-13,146.2,146.8,142.9,144.2,144.2,8378529470
2020-01-14,144.3,167.7,144.1,166.0,166.0,16712318373
2020-01-15,165.7,170.4,161.1,166.2,166.2,15173694057
2020-01-16,166.3,167.1,159.7,164.4,164.4,13735193018
2020-01-17,164.5,173.1,162.8,170.8,170.8,14997091826
2020-01-18,170.7,178.5,166.8,175.4,175.4,14929342256
2020-01-19,175.5,177.2,163.7,167.0,167.0,13713374132
2020-01-20,166.9,169.1,162.3,167.1,167.1,11144529787
2020-01-21,167.1,169.9,165.8,169.7,169.7,9789369362
2020-01-22,169.6,171.0,166.8,168.3,168.3,9209827928
2020-01-23,168.3,168.3,160.3,162.9,162.9,10396868698
2020-01-24,162.9,164.3,156.7,163.1,163.1,10657671162
2020-01-25,163.1,163.2,158.6,161.3,161.3,8256956802
2020-01-26,161.2,168.2,160.3,168.1,168.1,9261861590
2020-01-27,168.0,172.9,166.9,170.9,170.9,11004476145
2020-01-28,170.9,176.4,170.7,176.4,176.4,11772875064
2020-01-29,176.3,178.8,175.1,175.1,175.1,10725267311
2020-01-30,174.9,186.3,172.4,184.7,184.7,12604789338
2020-01-31,184.7,185.4,176.3,180.2,180.2,11728616394
2020-02-01,180.1,183.8,179.7,183.7,183.7,11569697182
2020-02-02,183.5,193.1,180.2,188.6,188.6,14054425389
2020-02-03,188.6,193.4,188.0,189.9,189.9,12392875241
2020-02-04,189.9,191.1,185.4,189.3,189.3,11714191695
2020-02-05,189.3,206.8,188.8,204.2,204.2,14865434435
2020-02-06,204.1,214.6,201.9,212.3,212.3,16425589683
2020-02-07,212.3,223.1,212.3,222.7,222.7,16673443564
2020-02-08,222.5,226.6,215.4,223.1,223.1,16741203125
2020-02-09,223.0,229.9,223.0,228.6,228.6,15031356241
2020-02-10,228.5,229.2,218.1,223.5,223.5,16210008511
2020-02-11,223.4,236.5,218.6,235.9,235.9,16964695963
2020-02-12,235.9,272.4,235.9,265.4,265.4,24545049386
2020-02-13,265.1,273.7,258.9,268.1,268.1,25801317504
2020-02-14,268.0,285.1,262.8,284.2,284.2,23558253463
2020-02-15,284.6,287.1,264.3,264.7,264.7,23682452994
2020-02-16,264.9,272.9,242.5,259.9,259.9,25152366643
2020-02-17,259.9,266.9,244.3,266.4,266.4,26024080089
2020-02-18,266.5,283.2,261.5,281.9,281.9,26511477187
2020-02-19,282.0,283.5,259.8,259.8,259.8,22679414413
2020-02-20,259.8,263.7,251.0,257.9,257.9,23229828870
2020-02-21,257.9,267.0,255.7,265.6,265.6,20867593292
2020-02-22,265.6,266.4,258.9,262.3,262.3,16906032862
2020-02-23,262.3,273.8,262.0,273.8,273.8,19585998814
2020-02-24,273.7,275.5,259.6,265.2,265.2,22400845640
2020-02-25,265.3,265.4,246.9,247.8,247.8,21878882134
2020-02-26,247.7,249.6,221.3,225.7,225.7,26235617201
2020-02-27,225.7,237.2,212.7,226.8,226.8,25645522790
2020-02-28,227.0,234.2,216.3,226.8,226.8,22563530559
2020-02-29,226.8,232.3,219.8,219.8,219.8,18181296376
2020-03-01,219.8,226.7,214.1,219.0,219.0,18179807469
2020-03-02,218.7,232.8,217.3,230.6,230.6,20305587789
2020-03-03,230.5,232.3,221.7,224.5,224.5,19853178572
2020-03-04,224.6,228.0,222.1,224.5,224.5,16567075208
2020-03-05,224.6,234.4,224.6,229.3,229.3,18201291785
2020-03-06,229.2,243.6,228.7,243.5,243.5,19374772256
2020-03-07,243.8,250.0,237.6,237.9,237.9,19431652027
2020-03-08,237.8,237.8,200.6,200.7,200.7,21381823651
2020-03-09,201.3,207.5,192.3,202.0,202.0,23645428606
2020-03-10,202.9,205.7,198.1,200.8,200.8,18344930072
2020-03-11,200.8,203.0,184.4,194.9,194.9,16984790291
2020-03-12,194.7,195.1,111.2,112.3,112.3,22134741655
2020-03-13,112.7,137.4,95.2,133.2,133.2,27864623061
2020-03-14,133.6,134.5,122.4,123.3,123.3,12740784545
2020-03-15,123.2,132.2,121.9,125.2,125.2,12719251813
2020-03-16,125.0,125.0,105.2,110.6,110.6,15984904590
2020-03-17,110.4,119.0,110.4,113.9,113.9,12087490572
2020-03-18,113.9,116.0,111.7,114.8,114.8,11617854009
2020-03-19,114.8,140.5,114.7,136.6,136.6,16396753275
2020-03-20,136.6,150.9,122.6,132.7,132.7,18960388062
2020-03-21,133.1,136.0,127.2,132.8,132.8,13684083308
2020-03-22,132.9,136.2,122.9,123.3,123.3,12497707224
2020-03-23,123.4,134.9,121.9,134.9,134.9,14149877968
2020-03-24,135.2,141.9,133.2,138.8,138.8,14609068673
2020-03-25,138.9,141.4,134.3,136.2,136.2,13433092920
2020-03-26,136.2,138.8,134.9,138.4,138.4,11367261176
2020-03-27,138.4,139.9,133.9,133.9,133.9,11396286629
2020-03-28,134.0,134.0,127.0,131.0,131.0,12162403960
2020-03-29,131.0,131.2,125.5,125.6,125.6,9938133669
2020-03-30,125.6,133.9,125.3,132.9,132.9,11841123306
2020-03-31,132.8,134.3,131.7,133.6,133.6,11065246317
2020-04-01,133.6,135.6,129.7,135.6,135.6,12456564435
2020-04-02,135.7,146.8,135.7,142.0,142.0,15322861686
2020-04-03,142.1,146.9,139.6,142.1,142.1,13184603402
2020-04-04,142.2,145.4,140.1,145.2,145.2,11946658257
2020-04-05,145.3,146.1,142.1,143.5,143.5,11280993591
2020-04-06,143.6,169.3,143.5,169.1,169.1,21636382525
2020-04-07,169.1,175.2,164.2,165.1,165.1,21659346091
2020-04-08,165.2,173.2,164.5,172.6,172.6,17063110836
2020-04-09,172.8,172.9,168.0,170.8,170.8,14901696210
