Bulan,Tahun,Harga Beras Rojolele
"1,2020,""12,500"""
"2,2020,""12,350"""
"3,2020,""12,400"""
"4,2020,""12,400"""
"5,2020,""12,500"""
"6,2020,""12,500"""
"7,2020,""12,500"""
"8,2020,""12,500"""
"9,2020,""12,350"""
"10,2020,""12,350"""
"11,2020,""12,400"""
"12,2020,""12,400"""
"1,2021,""12,400"""
"2,2021,""12,400"""
"3,2021,""12,500"""
"4,2021,""12,550"""
"5,2021,""12,550"""
"6,2021,""12,600"""
"7,2021,""12,550"""
"8,2021,""12,550"""
"9,2021,""12,550"""
"10,2021,""12,550"""
"11,2021,""12,550"""
"12,2021,""12,650"""
"1,2022,""12,600"""
"2,2022,""12,600"""
"3,2022,""12,650"""
"4,2022,""12,600"""
"5,2022,""12,550"""
"6,2022,""12,550"""
"7,2022,""12,550"""
"8,2022,""12,550"""
"9,2022,""12,550"""
"10,2022,""12,650"""
"11,2022,""12,650"""
"12,2022,""12,750"""
"1,2023,""12,750"""
"2,2023,""12,850"""
"3,2023,""12,850"""
"4,2023,""12,900"""
"5,2023,""13,250"""
"6,2023,""13,550"""
"7,2023,""13,550"""
"8,2023,""13,550"""
"9,2023,""13,800"""
"10,2023,""13,900"""
"11,2023,""13,900"""
"12,2023,""13,900"""
"1,2024,""13,900"""
"2,2024,""14,200"""
"3,2024,""14,900"""
"4,2024,""14,850"""
"5,2024,""15,450"""
"6,2024,""15,400"""
"7,2024,""15,500"""
"8,2024,""15,550"""
